category_name,videos,median_views,median_likes,median_comments
Entertainment,14764,250234.0,1802.0,195.0
News & Politics,4709,174239.0,1066.0,154.0
Music,3292,825655.0,15924.5,948.0
Comedy,2967,448912.0,17668.0,1354.0
People & Blogs,2367,234387.0,1402.0,154.0
Film & Animation,1463,657768.0,7716.0,557.0
Education,1166,50872.0,2448.5,269.5
Howto & Style,801,245371.0,3123.0,408.0
Sports,646,655190.0,6075.0,559.0
Science & Technology,517,293946.0,23018.0,3211.0
Shows,149,619941.0,3397.0,463.0
29,103,49558.0,1135.0,0.0
Autos & Vehicles,69,183366.0,2209.0,289.0
Gaming,55,2026011.0,80630.0,7148.0
Movies,10,2906235.5,47081.0,2576.5
Travel & Events,8,189713.0,635.5,32.0
Pets & Animals,3,2244679.0,174921.0,20544.0
