trending_date_parsed,videos,median_views
2017-11-14,200,117622.5
2017-11-15,200,151069.0
2017-11-16,200,168675.5
2017-11-17,200,169136.0
2017-11-18,200,186669.5
2017-11-19,200,167839.5
2017-11-20,198,176847.0
2017-11-21,175,190283.0
2017-11-22,118,320246.5
2017-11-23,187,162244.0
2017-11-24,200,133131.0
2017-11-25,200,131048.5
2017-11-26,191,150146.0
2017-11-27,189,179339.0
2017-11-28,186,139010.0
2017-11-29,180,137341.0
2017-11-30,185,145142.0
2017-12-01,200,152763.5
2017-12-02,183,180853.0
2017-12-03,184,195979.5
2017-12-04,184,207163.5
2017-12-05,196,194939.0
2017-12-06,192,145110.0
2017-12-07,170,170348.5
2017-12-08,168,158226.5
2017-12-09,186,180575.0
2017-12-10,190,165606.0
2017-12-11,187,200459.0
2017-12-12,200,158549.5
2017-12-13,200,167300.0
2017-12-14,196,208883.0
2017-12-15,198,209925.0
2017-12-16,200,251926.5
2017-12-17,199,266926.0
2017-12-18,200,299515.5
2017-12-19,177,361719.0
2017-12-20,152,358669.0
2017-12-21,200,207875.0
2017-12-22,200,224640.5
2017-12-23,200,242404.0
2017-12-24,197,255654.0
2017-12-25,182,294315.0
2017-12-26,183,265959.0
2017-12-27,163,210909.0
2017-12-28,168,207582.0
2017-12-29,165,241233.0
2017-12-30,187,184818.0
2017-12-31,196,210810.5
2018-01-01,194,226008.0
2018-01-02,188,262809.0
2018-01-03,192,231167.5
2018-01-04,186,255018.5
2018-01-05,179,215797.0
2018-01-06,170,201782.0
2018-01-07,193,194144.0
2018-01-08,189,221015.0
2018-01-09,169,289718.0
2018-01-12,200,243287.5
2018-01-13,200,247761.5
2018-01-14,200,255803.5
2018-01-15,196,254002.0
2018-01-16,182,266384.5
2018-01-17,188,233301.0
2018-01-18,178,217567.5
2018-01-19,179,247339.0
2018-01-20,200,202510.0
2018-01-21,200,239826.5
2018-01-22,200,274675.5
2018-01-23,200,215230.5
2018-01-24,200,233416.0
2018-01-25,200,268703.0
2018-01-26,191,311505.0
2018-01-27,191,216881.0
2018-01-28,177,213008.0
2018-01-29,169,305083.0
2018-01-30,166,279981.0
2018-01-31,141,383580.0
2018-02-01,116,485761.5
2018-02-02,125,191471.0
2018-02-03,154,129720.5
2018-02-04,171,206890.0
2018-02-05,169,243135.0
2018-02-06,164,338588.0
2018-02-07,131,488488.0
2018-02-08,149,326449.0
2018-02-09,170,346350.0
2018-02-10,176,333193.5
2018-02-11,181,245372.0
2018-02-12,177,256408.0
2018-02-13,183,266103.0
2018-02-14,173,312169.0
2018-02-15,180,399201.0
2018-02-16,171,368820.0
2018-02-17,181,243507.0
2018-02-18,179,277398.0
2018-02-19,167,301671.0
2018-02-20,172,221178.5
2018-02-21,163,251535.0
2018-02-22,164,287491.0
2018-02-23,165,320204.0
2018-02-24,168,297210.0
2018-02-25,162,204950.0
2018-02-26,164,319224.5
2018-02-27,137,429680.0
2018-02-28,124,390742.0
2018-03-01,115,455408.0
2018-03-02,120,446969.0
2018-03-03,152,440437.5
2018-03-04,152,273529.0
2018-03-05,158,250914.5
2018-03-06,164,270083.5
2018-03-07,155,250494.0
2018-03-08,161,294732.0
2018-03-09,184,236856.0
2018-03-10,174,275422.0
2018-03-11,172,282255.0
2018-03-12,175,310232.0
2018-03-13,174,314801.0
2018-03-14,174,356781.0
2018-03-15,58,754295.5
2018-03-16,166,302529.5
2018-03-17,155,357827.0
2018-03-18,153,297905.0
2018-03-19,146,294870.5
2018-03-20,151,338592.0
2018-03-21,155,288354.0
2018-03-22,150,357776.5
2018-03-23,171,272784.0
2018-03-24,166,297021.5
2018-03-25,156,281518.5
2018-03-26,152,300955.5
2018-03-27,150,339287.5
2018-03-28,129,456764.0
2018-03-29,154,388035.5
2018-03-30,143,388265.0
2018-03-31,150,266485.5
2018-04-01,145,369446.0
2018-04-02,158,241651.5
2018-04-03,145,293011.0
