category_name,videos,unique_videos,median_views,median_likes,median_comments,median_like_rate,median_comment_rate
Movies,10,2,2906235.5,47081.0,2576.5,0.012420654397959259,0.0007109896851079419
Pets & Animals,3,2,2244679.0,174921.0,20544.0,0.07479877756972124,0.008585276235197383
Gaming,55,21,2026011.0,80630.0,7148.0,0.02889942553466156,0.002414886615209717
Music,3292,1216,825655.0,15924.5,948.0,0.02125517065479683,0.0011390980509294682
Film & Animation,1463,523,657768.0,7716.0,557.0,0.016362496775374546,0.0010717109237289972
Sports,646,348,655190.0,6075.0,559.0,0.009894958803041368,0.0007181778036964039
Shows,149,122,619941.0,3397.0,463.0,0.005199783695156427,0.0007065596936383398
Comedy,2967,1117,448912.0,17668.0,1354.0,0.0508845548112977,0.0034712111691774837
Science & Technology,517,302,293946.0,23018.0,3211.0,0.0606758330171771,0.011344801087663297
Entertainment,14764,7564,250234.0,1802.0,195.0,0.006350695105619603,0.0006687261066365133
Howto & Style,801,480,245371.0,3123.0,408.0,0.010329085654230163,0.0006718987672524006
People & Blogs,2367,1234,234387.0,1402.0,154.0,0.005986042079193796,0.0006002400960384153
Travel & Events,8,4,189713.0,635.5,32.0,0.003225453349284703,0.0001682039387984248
Autos & Vehicles,69,34,183366.0,2209.0,289.0,0.011071236756017773,0.0009932095460821054
News & Politics,4709,2507,174239.0,1066.0,154.0,0.005706354102405923,0.0008011061198573438
Education,1166,799,50872.0,2448.5,269.5,0.04886980757150261,0.005516919566372642
29,103,69,49558.0,1135.0,0.0,0.03805335757057314,0.0
