video_id,title,channel_title,category_name,views,likes,comment_count
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,125432237,2912710,807558
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,113876217,2811216,787174
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,100911567,2656672,682890
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,89930713,2606663,347982
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,87449453,2584674,341571
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,84281319,2555411,339708
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,80360459,2513102,335920
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,75969469,2251815,827755
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,74789251,2444956,330710
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,66637636,2331352,316185
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,56367282,2157733,303178
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,53822757,1250535,135405
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,53071887,1243477,134673
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,52611730,1891811,702784
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,51436997,1229060,133144
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,51436997,1229059,133144
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,49185287,1204863,130891
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,45759148,1166895,127694
QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,Entertainment,45064699,1494997,186005
rRr1qiJRsXk,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,FoxStarHindi,Entertainment,44171797,780895,47829
