video_id,title,channel_title,trending_records,first_trending_date,last_trending_date,max_views
rRr1qiJRsXk,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,FoxStarHindi,13,2018-04-25,2018-05-03,44171797
EyPXz6hKa_s,School Ke Wo Din - Amit Bhadana,Amit Bhadana,11,2018-03-26,2018-04-01,15718041
1J76wN0TPI4,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,10,2018-05-31,2018-06-07,36224215
Wm_vSSlVsV4,Kaala (Tamil) - Official Teaser | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,Wunderbar Studios,10,2018-03-02,2018-03-09,18877505
aNwWdF8qq-M,Official Video: Raat Kamaal Hai | Guru Randhawa & Khushali Kumar | Tulsi Kumar | New Song 2018,T-Series,10,2018-04-27,2018-05-03,27893636
q8v9MvManKE,Earth Day 2018 Google Doodle,googledoodles,9,2018-04-22,2018-04-27,4733057
J-dv_DcDD_A,ZAYN - Let Me (Official Video),ZaynVEVO,9,2018-04-14,2018-04-18,22769424
iWZmdoY1aTE,Ed Sheeran - Happier (Official Video),Ed Sheeran,9,2018-04-28,2018-05-02,23543061
FPm7xM849-E,BB Ki Vines- | Maun Vrat |,BB Ki Vines,9,2018-03-06,2018-03-14,10415360
zMxIW7uwDGg,"DJ (Duvvada Jagannadham) 2017 New Released Full Hindi Dubbed Movie | Allu Arjun, Pooja Hegde",Goldmines Telefilms,9,2017-11-20,2017-11-27,35702242
4juJXyLX510,Avengers Infinity War with Ashish Chanchlani,ashish chanchlani vines,9,2018-04-22,2018-04-27,6483404
bYSRPuDEnTg,Garmi Ke Side-Effects | Ashish Chanchlani,ashish chanchlani vines,9,2018-04-14,2018-04-20,10256578
FCUPcNBpq4E,Kinjal Dave - Moj Ma ( Ghate To Zindagi Ghate ) | Latest Gujarati New Song 2018  | Raghav Digital,Raghav Digital,9,2018-04-20,2018-04-25,5364271
u9Mv98Gr5pY,VENOM - Official Trailer (HD),Sony Pictures Entertainment,9,2018-04-25,2018-05-01,53822757
yFFL1we4j_Y,Mill Lo Na - Guri Ft. Sukhe (Full Song) Jaani | Satti Dhillon | Latest Punjabi Songs 2018 | Geet MP3,Geet MP3,9,2018-02-27,2018-03-06,12824359
y-PQiShdTKA,Tochan (Full Video) | SIDHU MOOSEWALA | BYG BYRD | SONIA MAAN | Humble Music,Humble Music,8,2018-05-18,2018-05-24,14574802
DMl1YJyqEdo,Shada (Full Video) | Parmish Verma | Desi Crew | Latest Punjabi Song 2018,Speed Records,8,2018-03-18,2018-03-24,13065320
GWWHI7SE0KQ,"Rangamma Mangamma Full Video Song - Rangasthalam Video Songs | Ram Charan, Samantha",Lahari Music | T-Series,8,2018-05-01,2018-05-05,9382978
